Data,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,>89,Totali
11/11/20,34309,85064,122052,118862,151099,172707,105716,82135,76991,30926,979861
18/11/20,43841,105378,152657,150360,193504,220532,134416,102186,92089,36266,1231229
25/11/20,51938,122212,178532,178453,230654,262420,160621,121048,107062,41474,1454414
02/12/20,59044,135691,197408,199230,258316,293397,180294,135507,119097,46160,1624144
09/12/20,64888,146376,211943,215097,279227,316545,195331,146577,128712,49895,1754591
16/12/20,69974,155420,224352,228545,297069,336489,207996,156264,137208,53203,1866520
22/12/20,74520,163404,235677,240471,312629,353402,219220,164483,143620,55476,1962902
29/12/20,78664,170048,245458,251226,326571,368635,229200,172071,149953,57988,2049814
05/01/21,83551,179103,258573,265546,344029,387765,242095,181467,157102,60413,2159644
29/09/20,5839,11372,29157,30022,41658,53298,37810,37723,43880,19893,310652
06/10/20,6924,13209,31734,32384,44161,55978,39429,38786,44593,20156,327354
